"Entry","Name","Origin","Region","SeedMass1000.2018","SeedMass1000.2017","SeedMass1000.2016"
276,"PI 432106 LSP AGL","Iran","Asia",56.1498257839721,63.2,60.3
277,"PI 432124 LSP AGL","Iran","Asia",28.3995459704881,26.4,26.1
278,"PI 432145 LSP AGL","Iran","Asia",33.2321899736148,27.3,32.3
279,"PI 432147 LSP AGL","Iran","Asia",35.9043602333291,32.4,31.7
280,"PI 432184 LSP AGL","Iran","Asia",38.4604519774011,35.4,35.7
281,"PI 432188 LSP AGL","Iran","Asia",41.9951670319369,38.4,39.5
282,"PI 432190 LSP AGL","Iran","Asia",49.8173515981735,47.2,42.2
283,"PI 432201 LSP AGL","Iran","Asia",29.3645546372819,28.6,26.6
284,"PI 432212 LSP AGL","Iran","Asia",30.9530694577667,28.5,29.6
285,"PI 432236 LSP AGL","Jordan","Asia",27.6419222069784,24.1,26.2
286,"PI 432245 LSP AGL","Lebanon","Asia",56.5151515151515,48.8,57.6
287,"PI 432271 LSP AGL","Turkey","Asia",29.0473498752019,22.4,27
288,"PI 432286 LSP AGL","Egypt","Africa",37.595818815331,26.7,28.2
289,"PI 451763 LSP AGL","USA","Americas",56.1659513590844,52.6,47.1
290,"PI 458503 LSP AGL","Mexico","Americas",35.3195673549656,30.2,28.2
291,"PI 468900 LSP AGL","Brazil","Americas",39.7489504529624,34.9,40.4
292,"PI 468901 AGL","Brazil","Americas",32.8709990300679,24.7,27.6
293,"PI 468902 LSP AGL","Brazil","Americas",36.1036036036036,29.2,29.8
294,"PI 472136 LSP AGL","India","Asia",23.9973262032086,24.2,25
295,"PI 472205 LSP AGL","India","Asia",38.0378657487091,36.3,33.9
296,"PI 472213 LSP AGL","India","Asia",35.7048748353096,28.3,31.7
297,"PI 472327 LSP AGL","India","Asia",24.027149321267,21.1,22.7
298,"PI 472380 LSP AGL","India","Asia",25.5354659248957,22.8,26.5
299,"PI 472416 LSP AGL","India","Asia",23.5422602089269,20.6,23.6
300,"PI 472488 LSP AGL","India","Asia",23.2708333333333,23.1,25.1
301,"PI 472559 LSP AGL","India","Asia",21.3628318584071,21.3,23.4
302,"PI 472561 LSP AGL","India","Asia",25.5442176870748,21.8,23.7
303,"PI 472569 LSP AGL","Egypt","Africa",22.7707808564232,21.5,23.2
304,"PI 472588 LSP AGL","Egypt","Africa",39.5194541231127,31.6,27.8
305,"PI 472590 LSP AGL","Lebanon","Asia",45.1387347391787,38.1,45.5
306,"PI 472615 LSP AGL","Jordan","Asia",55.4115853658537,51.2,47.7
307,"PI 472629 LSP AGL","Iran","Asia",35.8556461001164,33.1,37.1
308,"PI 477921 LSP AGL","USA","Americas",57.910447761194,53,53.2
309,"PI 490288 LSP AGL","France","Europe",33.3926981300089,27.4,29.5
310,"PI 490289 LSP AGL","France","Europe",48.5333333333333,44.8,39
311,"PI 508090 AGL","USA","Americas",61.7441860465116,59,55.5
312,"PI 518733 LSP AGL","Brazil","Americas",35.9572400388727,27.4,28.6
313,"PI 518734 LSP AGL","Brazil","Americas",31.6514522821577,25.4,27.8
314,"PI 533688 LSP AGL","Spain","Europe",69.9277108433735,66.4,60.2
315,"PI 533693 LSP AGL","Spain","Europe",33.2950631458094,28.5,32.5
316,"PI 612875 AGL","Syria","Asia",29.7913188647746,28.6,29
317,"PI 643451 AGL","Ethiopia","Africa",28.7254901960784,26,30.3
318,"PI 643452 AGL","Syria","Asia",28.5586392121755,25.2,27
319,"Shasta AGL","USA","Americas",56.927374301676,73.1,50
320,"W6 27754 LSP AGL","USDA",NA,39.4712853236098,32.3,33.6
321,"W6 27760 LSP AGL","USDA",NA,37.0200573065903,32.7,34.8
322,"W6 27763 LSP AGL","USDA",NA,34.2127659574468,29.6,34.2
323,"W6 27766 LSP AGL","USDA",NA,36.4832793959008,30.1,36.9
324,"W6 27767 LSP AGL","USDA",NA,35.9785522788204,31.1,32.2
