"Name","Su17_gc.a.at.DTF","Su17_gc.a.at.DTM","Su17_gc.a.perc.DTF","Su17_gc.a.xmax.DTF","Su17_gc.a.xmax.DTM","Su17_gc.a.xmid.DTF","Su17_gc.a.xmid.DTM","Su17_gc.h.at.DTF","Su17_gc.h.at.DTM","Su17_gc.h.perc.DTF","Su17_gc.h.xmax.DTF","Su17_gc.h.xmax.DTM","Su17_gc.h.xmid.DTF","Su17_gc.h.xmid.DTM","Su17_gc.v.at.DTF","Su17_gc.v.at.DTM","Su17_gc.v.perc.DTF","Su17_gc.v.xmax.DTF","Su17_gc.v.xmax.DTM","Su17_gc.v.xmid.DTF","Su17_gc.v.xmid.DTM"
"PI_300250_LSP_AGL",0.350915088912044,1.03876885500348,29.7936125221038,30,-8,6.6064273400475,-28.6003217858249,0.115600305800908,0.164879058130699,64.6831274795782,19,-10.6666666666667,-4.75401802580325,-39.1996429401971,0.0285752675242829,0.172603004760349,13.8341413371997,24.5,-11.6666666666667,9.21766536409155,-25.8499432461134
"PI_302398_LSP_AGL",0.347623200685858,0.914858379625042,30.3384260412844,31.6666666666667,-6,7.24263255774454,-29.7219156784062,0.114971349914725,0.157020794381965,73.1978690132224,14.3333333333333,-20.5,-7.0361451102999,-44.2711134240295,0.029619298094346,0.14417040400944,15.7744290408393,24.6666666666667,-12.5,9.44864746414547,-26.9742182263239
"PI_308614_LSP_AGL",0.340956082969491,1.0695589582423,33.3976195603852,28.6666666666667,-6,5.4246090996616,-28.3439637707,0.119110802059557,0.150191738184013,78.6287394775427,12.6666666666667,-21,-9.90336746236603,-43.1423460037512,0.0283417808426329,0.152896003338546,19.3906284193718,22,-11.5,7.0737129168093,-26.7921287894674
"PI_311107_LSP_AGL",0.635714334493541,1.32902028290916,48.102012782718,22.3333333333333,-16,0.600536651407734,-37.9922438003696,0.159235244431208,0.226587052277167,71.4512064926981,19.3333333333333,-20.5,-8.19768764182593,-45.9626048599154,0.0870661053875118,0.299603748931996,30.0465188698051,18,-19.5,3.94949659577897,-34.2488974019139
"PI_312175_LSP_AGL",0.715185845984825,1.76726782977506,44.3928003364803,23,-11,1.47109767011136,-35.5909513773214,0.164431942444853,0.290454138438338,58.1169382242132,25.6666666666667,-14,-3.03614038749633,-39.179853889282,0.107031533077662,0.493859437522533,24.2332547237917,20.6666666666667,-16,5.85128155922273,-30.9947499038089
"PI_320935_LSP_AGL",0.281908462148212,1.35628051496629,20.1836576963379,32.6666666666667,-9.66666666666667,10.3986030926819,-31.9347302406515,0.100870399339672,0.229304539177816,43.4555935014997,29.3333333333333,-13,2.4637282396582,-39.8696050936751,0.0205796584083293,0.30375476677161,6.56607760632474,29,-13.3333333333333,13.6969910184583,-28.636342314875
"PI_320936_LSP_AGL",0.606802458080859,1.29887269510728,45.9866542347005,24.3333333333333,-11,1.3242017525092,-34.0091315808241,0.158374315374103,0.314773836376713,49.439751778111,26.6666666666667,-8.66666666666667,0.231358707228334,-35.101974626105,0.0582392964524892,0.398305844671574,14.2447381525267,18.6666666666667,-16.6666666666667,6.96080590736723,-28.3725274259661
"PI_320937_LSP_AGL",0.843304598004628,1.19920995290145,65.8927760168987,13.3333333333333,-18,-3.80100430946826,-37.0205658251305,0.196129935090778,0.304644421362267,62.0842742200364,24,-10,-4.5937897800923,-35.7119278299805,0.156932614892031,0.357102827817137,40.3935890860807,13.6666666666667,-18,1.54541849779523,-30.3656173461896
"PI_320941_LSP_AGL",0.226707965147034,1.09825498159042,19.4376372406078,30.6666666666667,-10.5,9.74786247859053,-30.0568846931604,0.13555519057579,0.193922820347261,68.1244907241418,18.3333333333333,-20.5,-6.36873787445173,-46.5966641908743,0.0206582159084509,0.202370805144508,9.63098253802026,24.6666666666667,-15,10.4419226351792,-28.9896518447809
"PI_320945_LSP_AGL",0.587117193114579,1.2040857639555,46.4266838946662,23.6666666666667,-13.5,1.1183187041067,-36.0761913474678,0.149310087879069,0.212112024499278,69.6555195974702,18.3333333333333,-22,-6.93354205236153,-45.5275846475334,0.0716641628991371,0.251999461433539,27.1116124553286,20.6666666666667,-17.5,4.98623745502257,-32.8285572390811
